la_code,supergroup,supergroup_code,group,group_code,subgroup,subgroup_code
E06000047,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Mining Legacy,6a2
E06000005,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Service Economy,6a3
E06000001,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Mining Legacy,6a2
E06000002,Urban Settlements,8,Manufacturing Traits,8a,Industrial and Multi-ethnic,8a1
E06000057,Countryside Living,3,English and Welsh Countryside,3a,Sparse English and Welsh Countryside,3a2
E06000003,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Mining Legacy,6a2
E06000004,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E08000037,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Service Economy,6a3
E08000021,"Business, Education and Heritage Centres",2,Larger Towns and Cities,2a,Larger Towns and Cities,2a1
E08000022,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Service Economy,6a3
E08000023,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Service Economy,6a3
E08000024,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Mining Legacy,6a2
E06000008,Urban Settlements,8,Manufacturing Traits,8a,Industrial and Multi-ethnic,8a1
E06000009,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Service Economy,6a3
E06000049,Town and Country Living,7,Country Living,7a,Country Living,7a1
E06000050,Town and Country Living,7,Town Living,7c,Prosperous Towns,7c2
E06000006,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E06000007,Town and Country Living,7,Town Living,7c,Prosperous Towns,7c2
E07000026,Countryside Living,3,English and Welsh Countryside,3a,Sparse English and Welsh Countryside,3a2
E07000027,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Mining Legacy,6a2
E07000028,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E07000029,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Mining Legacy,6a2
E07000030,Countryside Living,3,English and Welsh Countryside,3a,Older Farming Communities,3a1
E07000031,Countryside Living,3,English and Welsh Countryside,3a,Older Farming Communities,3a1
E08000001,Urban Settlements,8,Manufacturing Traits,8a,Industrial and Multi-ethnic,8a1
E08000002,Urban Settlements,8,Manufacturing Traits,8a,Urban Living,8a2
E08000003,"Business, Education and Heritage Centres",2,University Towns and Cities,2b,University Towns and Cities,2b1
E08000004,Urban Settlements,8,Manufacturing Traits,8a,Industrial and Multi-ethnic,8a1
E08000005,Urban Settlements,8,Manufacturing Traits,8a,Industrial and Multi-ethnic,8a1
E08000006,Urban Settlements,8,Manufacturing Traits,8a,Industrial and Multi-ethnic,8a1
