subgroup,n_las,mean_baseline,mean_slope,median_slope,std_slope,mean_change,pct_improving,pct_deteriorating,pct_stable,measure
Affluent rural,11,7.561,-0.004,-0.001,0.015,0.149,0.0,0.0,100.0,life-satisfaction
Ageing Coastal Living,13,7.621,-0.003,-0.005,0.012,-0.1,0.0,7.692,92.308,life-satisfaction
City Periphery,12,7.372,0.013,0.009,0.013,0.087,16.667,0.0,83.333,life-satisfaction
Country Living,37,7.552,-0.002,0.0,0.016,0.003,0.0,8.108,91.892,life-satisfaction
Ethnically Diverse Metropolitan  Living,19,7.201,0.016,0.017,0.015,0.175,21.053,0.0,78.947,life-satisfaction
Expanding Areas,8,7.382,0.001,0.003,0.015,-0.065,12.5,0.0,87.5,life-satisfaction
Industrial and Multi-ethnic,16,7.218,0.01,0.007,0.016,0.097,12.5,0.0,87.5,life-satisfaction
Larger Towns and Cities,28,7.428,-0.004,-0.001,0.014,-0.07,0.0,7.143,92.857,life-satisfaction
London Cosmopolitan,10,7.237,0.002,0.006,0.022,0.066,10.0,10.0,80.0,life-satisfaction
Manufacturing Legacy,20,7.435,-0.002,-0.002,0.012,0.036,0.0,0.0,100.0,life-satisfaction
Mining Legacy,13,7.322,0.005,0.006,0.011,0.041,0.0,0.0,100.0,life-satisfaction
Northern Ireland Countryside,8,7.868,-0.021,-0.014,0.02,-0.111,0.0,37.5,62.5,life-satisfaction
Older Farming Communities,14,7.654,0.002,0.003,0.032,-0.034,14.286,14.286,71.429,life-satisfaction
Prosperous Semi-rural,7,7.54,0.014,0.007,0.021,0.087,28.571,0.0,71.429,life-satisfaction
Prosperous Towns,22,7.446,0.003,0.004,0.019,0.051,4.545,0.0,95.455,life-satisfaction
Rural Growth Areas,21,7.552,0.002,0.001,0.013,0.059,4.762,0.0,95.238,life-satisfaction
Rural-Urban Fringe,15,7.469,0.001,-0.004,0.026,0.037,13.333,6.667,80.0,life-satisfaction
Scottish Countryside,11,7.684,-0.0,0.001,0.012,0.026,9.091,0.0,90.909,life-satisfaction
Scottish Industrial Legacy,13,7.449,-0.01,-0.006,0.012,-0.055,0.0,15.385,84.615,life-satisfaction
Seaside Living,5,7.38,0.007,0.012,0.026,0.186,0.0,0.0,100.0,life-satisfaction
Service Economy,9,7.308,0.003,0.005,0.01,0.119,0.0,0.0,100.0,life-satisfaction
Sparse English and Welsh Countryside,20,7.542,0.006,0.008,0.011,0.071,5.0,5.0,90.0,life-satisfaction
University Towns and Cities,7,7.356,-0.002,0.001,0.015,-0.089,0.0,0.0,100.0,life-satisfaction
Urban Living,15,7.335,0.009,0.001,0.023,-0.022,13.333,0.0,86.667,life-satisfaction
Affluent rural,11,7.806,0.003,0.006,0.011,0.17,0.0,0.0,100.0,worthwhile
Ageing Coastal Living,13,7.908,-0.005,-0.009,0.016,-0.105,0.0,0.0,100.0,worthwhile
City Periphery,12,7.667,0.02,0.011,0.022,0.219,41.667,0.0,58.333,worthwhile
Country Living,37,7.768,0.003,0.002,0.015,0.089,5.405,2.703,91.892,worthwhile
Ethnically Diverse Metropolitan  Living,19,7.479,0.016,0.014,0.014,0.217,26.316,0.0,73.684,worthwhile
Expanding Areas,8,7.621,0.008,0.003,0.015,0.037,12.5,0.0,87.5,worthwhile
Industrial and Multi-ethnic,16,7.532,0.015,0.015,0.014,0.17,31.25,0.0,68.75,worthwhile
Larger Towns and Cities,28,7.601,0.001,0.002,0.011,0.023,0.0,3.571,96.429,worthwhile
London Cosmopolitan,10,7.438,0.002,0.006,0.017,0.032,10.0,10.0,80.0,worthwhile
Manufacturing Legacy,20,7.704,0.007,0.003,0.014,0.057,5.0,0.0,95.0,worthwhile
Mining Legacy,13,7.626,0.008,0.008,0.011,0.126,7.692,0.0,92.308,worthwhile
Northern Ireland Countryside,8,8.025,-0.004,-0.0,0.017,0.049,0.0,12.5,87.5,worthwhile
Older Farming Communities,14,7.854,0.004,0.001,0.029,0.025,14.286,0.0,85.714,worthwhile
Prosperous Semi-rural,7,7.847,0.017,0.013,0.019,0.101,28.571,0.0,71.429,worthwhile
Prosperous Towns,22,7.693,0.01,0.004,0.025,0.077,18.182,0.0,81.818,worthwhile
Rural Growth Areas,21,7.798,0.0,0.001,0.011,0.03,0.0,0.0,100.0,worthwhile
Rural-Urban Fringe,15,7.771,-0.004,0.001,0.023,-0.163,0.0,6.667,93.333,worthwhile
Scottish Countryside,11,7.847,0.007,0.007,0.013,0.099,18.182,0.0,81.818,worthwhile
Scottish Industrial Legacy,13,7.645,0.0,0.006,0.013,0.045,0.0,7.692,92.308,worthwhile
Seaside Living,5,7.692,0.008,-0.001,0.027,0.168,20.0,0.0,80.0,worthwhile
Service Economy,9,7.607,0.006,0.007,0.008,0.061,0.0,0.0,100.0,worthwhile
Sparse English and Welsh Countryside,20,7.813,0.008,0.01,0.009,0.046,5.0,0.0,95.0,worthwhile
University Towns and Cities,7,7.579,0.007,0.002,0.013,0.016,14.286,0.0,85.714,worthwhile
Urban Living,15,7.629,0.004,-0.001,0.015,-0.026,6.667,0.0,93.333,worthwhile
Affluent rural,11,7.403,0.0,-0.006,0.024,0.072,9.091,0.0,90.909,happiness
Ageing Coastal Living,13,7.551,-0.001,-0.003,0.016,-0.118,7.692,7.692,84.615,happiness
City Periphery,12,7.28,0.016,0.021,0.022,0.146,25.0,0.0,75.0,happiness
Country Living,37,7.426,0.002,0.002,0.018,0.091,2.703,2.703,94.595,happiness
Ethnically Diverse Metropolitan  Living,19,7.164,0.019,0.016,0.02,0.217,21.053,0.0,78.947,happiness
Expanding Areas,8,7.208,0.005,0.001,0.011,0.016,0.0,0.0,100.0,happiness
Industrial and Multi-ethnic,16,7.166,0.013,0.01,0.019,0.152,37.5,0.0,62.5,happiness
Larger Towns and Cities,28,7.255,0.004,0.003,0.019,0.049,10.714,10.714,78.571,happiness
London Cosmopolitan,10,7.201,-0.002,-0.002,0.021,0.042,10.0,10.0,80.0,happiness
Manufacturing Legacy,20,7.237,0.009,0.008,0.015,0.156,10.0,0.0,90.0,happiness
Mining Legacy,13,7.175,0.014,0.018,0.013,0.202,30.769,0.0,69.231,happiness
Northern Ireland Countryside,8,7.775,-0.015,-0.022,0.026,-0.049,0.0,37.5,62.5,happiness
Older Farming Communities,14,7.515,0.01,0.007,0.033,0.079,21.429,0.0,78.571,happiness
Prosperous Semi-rural,7,7.466,0.019,0.016,0.015,0.126,28.571,0.0,71.429,happiness
Prosperous Towns,22,7.286,0.004,0.003,0.023,0.02,9.091,0.0,90.909,happiness
Rural Growth Areas,21,7.436,0.005,0.005,0.017,0.093,4.762,0.0,95.238,happiness
