la_code,la_name,year,nation,region,measure,value,se,ci_lower,ci_upper,tot,tot_new,tot_old,claimants_december,claimants_annual,pop_total,pop_65plus,overseas_share,filled_posts,employees,vacant_posts,vacancy_rate,fte_posts
CUMBRIA_COMBINED,Cumbria (combined),2016,England,North West,,,,,,54.0,13.0,41.0,1441.71,1520.73,498946.0,81250.0,0.0819,10500.0,9900.0,550.0,0.0497737556561085,7400.0
CUMBRIA_COMBINED,Cumbria (combined),2017,England,North West,,,,,,58.0,14.0,44.0,1719.5500000000002,1692.87,498693.0,81196.0,0.0846,10000.0,9600.0,650.0,0.0610328638497652,7300.0
CUMBRIA_COMBINED,Cumbria (combined),2018,England,North West,,,,,,59.0,14.0,45.0,1888.38,1830.45,498941.0,80928.0,0.0869,10000.0,9700.0,850.0,0.0783410138248847,7300.0
CUMBRIA_COMBINED,Cumbria (combined),2019,England,North West,,,,,,61.0,15.0,46.0,2239.73,2159.6800000000003,499171.0,80611.0,0.0916,10500.0,9900.0,900.0,0.0789473684210526,7500.0
CUMBRIA_COMBINED,Cumbria (combined),2020,England,North West,,,,,,61.0,15.0,46.0,4366.81,4061.0600000000004,498439.0,79936.0,0.0971,10500.0,10000.0,650.0,0.0582959641255605,7600.0
CUMBRIA_COMBINED,Cumbria (combined),2021,England,North West,,,,,,62.0,15.0,47.0,2968.6800000000003,3836.07,500729.0,79663.0,0.1057,10000.0,9400.0,1300.0,0.1150442477876106,7300.0
CUMBRIA_COMBINED,Cumbria (combined),2022,England,North West,,,,,,63.0,15.0,48.0,2520.06,2565.11,503177.0,79787.0,0.1229,10500.0,9600.0,1100.0,0.0948275862068965,7700.0
CUMBRIA_COMBINED,Cumbria (combined),2023,England,North West,,,,,,77.0,17.0,60.0,2277.7,2357.73,506716.0,80309.0,0.1554,10600.0,9900.0,1100.0,0.094017094017094,8000.0
DORSET_COMBINED,Dorset (combined),2016,England,South West,,,,,,110.0,18.0,92.0,1931.49,1894.0,769482.0,123856.0,0.1085,21900.0,20700.0,925.0,0.04052573932092,15400.0
DORSET_COMBINED,Dorset (combined),2017,England,South West,,,,,,114.0,20.0,94.0,1963.98,1992.94,774049.0,124473.0,0.112,21900.0,20500.0,1825.0,0.0769230769230769,15400.0
DORSET_COMBINED,Dorset (combined),2018,England,South West,,,,,,116.0,22.0,94.0,3184.82,2702.38,775668.0,124546.0,0.1135,21600.0,20700.0,1675.0,0.0719656283566058,15600.0
DORSET_COMBINED,Dorset (combined),2019,England,South West,,,,,,117.0,22.0,95.0,3684.05,3514.87,777881.0,124107.0,0.1182,21600.0,19800.0,1400.0,0.0608695652173913,15200.0
DORSET_COMBINED,Dorset (combined),2020,England,South West,,,,,,120.0,25.0,95.0,8992.04,7748.799999999999,777234.0,123060.0,0.1232,22500.0,21300.0,1600.0,0.0663900414937759,15800.0
DORSET_COMBINED,Dorset (combined),2021,England,South West,,,,,,123.0,26.0,97.0,5873.26,7674.21,781400.0,122902.0,0.1281,21100.0,19300.0,2050.0,0.0885529157667386,14800.0
DORSET_COMBINED,Dorset (combined),2022,England,South West,,,,,,131.0,29.0,102.0,5055.37,5229.38,786293.0,123741.0,0.1422,20900.0,19600.0,1850.0,0.0813186813186813,15500.0
DORSET_COMBINED,Dorset (combined),2023,England,South West,,,,,,145.0,29.0,116.0,5060.08,4946.51,792777.0,124096.0,0.1732,21800.0,19900.0,1650.0,0.0703624733475479,16400.0
E06000001,Hartlepool,2016,England,North East,anxiety,2.8,0.1020408163265305,2.6,3.0,14.0,3.0,11.0,2690.0,2752.1,92260.0,17661.0,0.0537,2500.0,2400.0,,,1800.0
E06000001,Hartlepool,2016,England,North East,happiness,7.44,0.0790816326530611,7.28,7.59,14.0,3.0,11.0,2690.0,2752.1,92260.0,17661.0,0.0537,2500.0,2400.0,,,1800.0
E06000001,Hartlepool,2016,England,North East,life-satisfaction,7.56,0.0688775510204082,7.43,7.7,14.0,3.0,11.0,2690.0,2752.1,92260.0,17661.0,0.0537,2500.0,2400.0,,,1800.0
E06000001,Hartlepool,2016,England,North East,worthwhile,7.7,0.0663265306122448,7.57,7.83,14.0,3.0,11.0,2690.0,2752.1,92260.0,17661.0,0.0537,2500.0,2400.0,,,1800.0
E06000001,Hartlepool,2017,England,North East,anxiety,2.79,0.1045918367346939,2.58,2.99,15.0,3.0,12.0,3815.0,3347.5,92306.0,17727.0,0.0563,2400.0,2200.0,,,1600.0
E06000001,Hartlepool,2017,England,North East,happiness,7.47,0.0816326530612245,7.31,7.63,15.0,3.0,12.0,3815.0,3347.5,92306.0,17727.0,0.0563,2400.0,2200.0,,,1600.0
E06000001,Hartlepool,2017,England,North East,life-satisfaction,7.49,0.0688775510204082,7.35,7.62,15.0,3.0,12.0,3815.0,3347.5,92306.0,17727.0,0.0563,2400.0,2200.0,,,1600.0
E06000001,Hartlepool,2017,England,North East,worthwhile,7.81,0.0688775510204082,7.68,7.95,15.0,3.0,12.0,3815.0,3347.5,92306.0,17727.0,0.0563,2400.0,2200.0,,,1600.0
E06000001,Hartlepool,2018,England,North East,anxiety,2.74,0.1071428571428572,2.53,2.95,15.0,3.0,12.0,3960.0,3987.1,92288.0,17773.0,0.0584,2500.0,2400.0,,,1800.0
