region,year,hsw_total,hsw_uk,hsw_eu,hsw_noneu,n_months,overseas_share,region_code
East Midlands,2016,269525.0,239775.0,9367.0,20408.0,12,0.1105,E12000004
East Midlands,2017,277267.0,244892.0,10567.0,21808.0,12,0.1168,E12000004
East Midlands,2018,282292.0,247950.0,11292.0,23058.0,12,0.1217,E12000004
East Midlands,2019,289600.0,252542.0,11858.0,25225.0,12,0.1281,E12000004
East Midlands,2020,294333.0,255217.0,12000.0,27092.0,12,0.1328,E12000004
East Midlands,2021,305800.0,262783.0,12167.0,30875.0,12,0.1408,E12000004
East Midlands,2022,312267.0,262000.0,12025.0,38225.0,12,0.1609,E12000004
East Midlands,2023,330225.0,263650.0,12417.0,54142.0,12,0.2016,E12000004
East of England,2016,337367.0,280025.0,21508.0,35867.0,12,0.1701,E12000006
East of England,2017,345858.0,284392.0,23775.0,37683.0,12,0.1777,E12000006
East of England,2018,352592.0,287708.0,25008.0,39858.0,12,0.184,E12000006
East of England,2019,362300.0,292800.0,26025.0,43475.0,12,0.1918,E12000006
East of England,2020,370308.0,296242.0,26542.0,47500.0,12,0.1999,E12000006
East of England,2021,385883.0,305492.0,26950.0,53450.0,12,0.2084,E12000006
East of England,2022,394267.0,305508.0,26225.0,62583.0,12,0.2252,E12000006
East of England,2023,415417.0,306817.0,26342.0,82250.0,12,0.2614,E12000006
London,2016,447650.0,278317.0,50950.0,118367.0,12,0.3782,E12000007
London,2017,459508.0,284150.0,54092.0,121283.0,12,0.3817,E12000007
London,2018,469858.0,288667.0,55383.0,125758.0,12,0.3855,E12000007
London,2019,485183.0,295333.0,57075.0,132783.0,12,0.3913,E12000007
London,2020,494358.0,298317.0,57842.0,138200.0,12,0.3966,E12000007
London,2021,521858.0,312000.0,59983.0,149858.0,12,0.4021,E12000007
London,2022,540150.0,315025.0,59467.0,165642.0,12,0.4168,E12000007
London,2023,570975.0,316467.0,59275.0,195217.0,12,0.4457,E12000007
North East,2016,169117.0,160042.0,2450.0,6625.0,12,0.0537,E12000001
North East,2017,172192.0,162525.0,2775.0,6917.0,12,0.0563,E12000001
North East,2018,174583.0,164392.0,2950.0,7242.0,12,0.0584,E12000001
North East,2019,176767.0,166033.0,3008.0,7708.0,12,0.0606,E12000001
North East,2020,178883.0,167467.0,3058.0,8383.0,12,0.064,E12000001
North East,2021,184358.0,171458.0,3158.0,9767.0,12,0.0701,E12000001
North East,2022,187633.0,171517.0,3217.0,12908.0,12,0.0859,E12000001
North East,2023,195475.0,172692.0,3283.0,19508.0,12,0.1166,E12000001
North West,2016,439125.0,403175.0,11692.0,24258.0,12,0.0819,E12000002
North West,2017,450442.0,412300.0,12750.0,25367.0,12,0.0846,E12000002
North West,2018,461317.0,421217.0,13267.0,26825.0,12,0.0869,E12000002
North West,2019,472933.0,429625.0,14017.0,29292.0,12,0.0916,E12000002
North West,2020,482575.0,435717.0,14475.0,32367.0,12,0.0971,E12000002
North West,2021,502783.0,449683.0,15167.0,37967.0,12,0.1057,E12000002
North West,2022,509883.0,447242.0,15092.0,47558.0,12,0.1229,E12000002
North West,2023,534017.0,451050.0,15650.0,67325.0,12,0.1554,E12000002
Northern Ireland,2016,125808.0,116683.0,5217.0,3917.0,12,0.0726,N92000002
Northern Ireland,2017,127158.0,117750.0,5450.0,3950.0,12,0.0739,N92000002
Northern Ireland,2018,130508.0,120658.0,5617.0,4225.0,12,0.0754,N92000002
Northern Ireland,2019,134983.0,124442.0,5825.0,4700.0,12,0.078,N92000002
Northern Ireland,2020,137342.0,126533.0,5850.0,4950.0,12,0.0786,N92000002
Northern Ireland,2021,141442.0,129842.0,6025.0,5583.0,12,0.0821,N92000002
Northern Ireland,2022,144808.0,131458.0,6108.0,7258.0,12,0.0923,N92000002
Northern Ireland,2023,145692.0,129625.0,5983.0,10083.0,12,0.1103,N92000002
Scotland,2016,360225.0,336400.0,11383.0,12442.0,12,0.0661,S92000003
Scotland,2017,366100.0,341075.0,12292.0,12733.0,12,0.0684,S92000003
Scotland,2018,371075.0,344867.0,12950.0,13250.0,12,0.0706,S92000003
Scotland,2019,373617.0,346117.0,13567.0,13933.0,12,0.0736,S92000003
Scotland,2020,374900.0,346167.0,14133.0,14625.0,12,0.0767,S92000003
Scotland,2021,393642.0,362033.0,15217.0,16408.0,12,0.0803,S92000003
Scotland,2022,394583.0,358775.0,15517.0,20308.0,12,0.0908,S92000003
Scotland,2023,403275.0,357933.0,16083.0,29275.0,12,0.1125,S92000003
South East,2016,499383.0,407008.0,36775.0,55583.0,12,0.1849,E12000008
South East,2017,514800.0,416625.0,40050.0,58142.0,12,0.1907,E12000008
South East,2018,525425.0,422842.0,41342.0,61233.0,12,0.1952,E12000008
South East,2019,540183.0,430892.0,42858.0,66458.0,12,0.2024,E12000008
South East,2020,551600.0,436558.0,43408.0,71633.0,12,0.2086,E12000008
South East,2021,576475.0,452625.0,44083.0,79800.0,12,0.2149,E12000008
South East,2022,588633.0,451500.0,42567.0,94550.0,12,0.2329,E12000008
South East,2023,615242.0,450325.0,42167.0,122733.0,12,0.268,E12000008
South West,2016,348567.0,310758.0,18383.0,19433.0,12,0.1085,E12000009
South West,2017,353117.0,313600.0,19483.0,20058.0,12,0.112,E12000009
South West,2018,355608.0,315267.0,19783.0,20567.0,12,0.1135,E12000009
South West,2019,364067.0,321075.0,20675.0,22342.0,12,0.1182,E12000009
South West,2020,371425.0,325683.0,21242.0,24500.0,12,0.1232,E12000009
South West,2021,383758.0,334642.0,21333.0,27817.0,12,0.1281,E12000009
South West,2022,388458.0,333242.0,20450.0,34775.0,12,0.1422,E12000009
South West,2023,406425.0,336067.0,20675.0,49700.0,12,0.1732,E12000009
Wales,2016,198742.0,185500.0,4425.0,8833.0,12,0.0667,W92000004
Wales,2017,203350.0,189550.0,4758.0,9042.0,12,0.0679,W92000004
Wales,2018,208092.0,193750.0,4817.0,9500.0,12,0.0688,W92000004
Wales,2019,212233.0,197242.0,4975.0,10008.0,12,0.0706,W92000004
Wales,2020,216300.0,200692.0,5125.0,10517.0,12,0.0723,W92000004
Wales,2021,223917.0,207000.0,5200.0,11725.0,12,0.0756,W92000004
Wales,2022,224817.0,205208.0,5100.0,14533.0,12,0.0873,W92000004
Wales,2023,235825.0,209700.0,5242.0,20900.0,12,0.1109,W92000004
West Midlands,2016,336300.0,296692.0,10400.0,29200.0,12,0.1178,E12000005
West Midlands,2017,345425.0,302933.0,11517.0,30967.0,12,0.123,E12000005
West Midlands,2018,354142.0,309083.0,12108.0,32958.0,12,0.1273,E12000005
West Midlands,2019,364058.0,315767.0,12775.0,35483.0,12,0.1326,E12000005
West Midlands,2020,373100.0,321775.0,13100.0,38208.0,12,0.1375,E12000005
West Midlands,2021,387792.0,331858.0,13375.0,42558.0,12,0.1442,E12000005
West Midlands,2022,398292.0,333400.0,13317.0,51600.0,12,0.163,E12000005
West Midlands,2023,421567.0,336475.0,13675.0,71400.0,12,0.2018,E12000005
Yorkshire and the Humber,2016,322042.0,296475.0,7658.0,17892.0,12,0.0793,E12000003
Yorkshire and the Humber,2017,326750.0,300033.0,8242.0,18483.0,12,0.0818,E12000003
Yorkshire and the Humber,2018,329683.0,302092.0,8358.0,19242.0,12,0.0837,E12000003
Yorkshire and the Humber,2019,334833.0,305758.0,8575.0,20492.0,12,0.0868,E12000003
Yorkshire and the Humber,2020,342017.0,311142.0,8808.0,22067.0,12,0.0903,E12000003
Yorkshire and the Humber,2021,352508.0,318592.0,9100.0,24833.0,12,0.0963,E12000003
Yorkshire and the Humber,2022,360383.0,319783.0,9108.0,31483.0,12,0.1126,E12000003
Yorkshire and the Humber,2023,377933.0,323342.0,9467.0,45125.0,12,0.1444,E12000003
