la_code,la_name,tot,tot_new,tot_old,year
S12000005,Clackmannanshire,15,2,13,2016
S12000005,Clackmannanshire,15,2,13,2017
S12000005,Clackmannanshire,15,2,13,2018
S12000005,Clackmannanshire,15,2,13,2019
S12000005,Clackmannanshire,14,2,12,2020
S12000005,Clackmannanshire,14,2,12,2021
S12000005,Clackmannanshire,14,2,12,2022
S12000005,Clackmannanshire,15,2,13,2023
S12000006,Dumfries and Galloway,29,5,24,2016
S12000006,Dumfries and Galloway,30,6,24,2017
S12000006,Dumfries and Galloway,30,6,24,2018
S12000006,Dumfries and Galloway,30,6,24,2019
S12000006,Dumfries and Galloway,31,6,25,2020
S12000006,Dumfries and Galloway,30,6,24,2021
S12000006,Dumfries and Galloway,30,6,24,2022
S12000006,Dumfries and Galloway,31,6,25,2023
S12000008,East Ayrshire,24,2,22,2016
S12000008,East Ayrshire,23,2,21,2017
S12000008,East Ayrshire,23,2,21,2018
S12000008,East Ayrshire,24,3,21,2019
S12000008,East Ayrshire,24,2,22,2020
S12000008,East Ayrshire,26,4,22,2021
S12000008,East Ayrshire,27,4,23,2022
S12000008,East Ayrshire,28,4,24,2023
S12000010,East Lothian,29,6,23,2016
S12000010,East Lothian,29,6,23,2017
S12000010,East Lothian,29,6,23,2018
S12000010,East Lothian,29,6,23,2019
S12000010,East Lothian,28,6,22,2020
S12000010,East Lothian,29,6,23,2021
S12000010,East Lothian,29,6,23,2022
S12000010,East Lothian,31,6,25,2023
S12000011,East Renfrewshire,13,1,12,2016
S12000011,East Renfrewshire,20,2,18,2017
S12000011,East Renfrewshire,20,2,18,2018
S12000011,East Renfrewshire,21,3,18,2019
S12000011,East Renfrewshire,21,3,18,2020
S12000011,East Renfrewshire,22,3,19,2021
S12000011,East Renfrewshire,22,3,19,2022
S12000011,East Renfrewshire,22,3,19,2023
S12000013,Na h-Eileanan Siar,7,0,7,2016
S12000013,Na h-Eileanan Siar,7,0,7,2017
S12000013,Na h-Eileanan Siar,7,0,7,2018
S12000013,Na h-Eileanan Siar,7,0,7,2019
S12000013,Na h-Eileanan Siar,7,0,7,2020
S12000013,Na h-Eileanan Siar,7,0,7,2021
S12000013,Na h-Eileanan Siar,7,0,7,2022
S12000013,Na h-Eileanan Siar,7,0,7,2023
S12000014,Falkirk,33,5,28,2016
S12000014,Falkirk,32,5,27,2017
S12000014,Falkirk,31,5,26,2018
S12000014,Falkirk,31,5,26,2019
S12000014,Falkirk,30,5,25,2020
S12000014,Falkirk,30,5,25,2021
S12000014,Falkirk,32,5,27,2022
S12000014,Falkirk,34,5,29,2023
S12000017,Highland,79,9,70,2016
