la_code,la_name,year,tot,tot_new,tot_old,claimants_december,claimants_annual,pop_total,pop_65plus,vacancy_rate
S12000005,Clackmannanshire,2016,15,2,13,840.0,859.6,51540.0,8967.0,
S12000005,Clackmannanshire,2017,15,2,13,1160.0,987.9,51630.0,8939.0,
S12000005,Clackmannanshire,2018,15,2,13,1295.0,1343.8,51540.0,8902.0,
S12000005,Clackmannanshire,2019,15,2,13,1305.0,1337.1,51660.0,8891.0,
S12000005,Clackmannanshire,2020,14,2,12,2065.0,1935.8,51400.0,8836.0,0.065
S12000005,Clackmannanshire,2021,14,2,12,1370.0,1747.1,51600.0,8783.0,0.099
S12000005,Clackmannanshire,2022,14,2,12,1175.0,1210.8,51750.0,8697.0,0.083
S12000005,Clackmannanshire,2023,15,2,13,1120.0,1158.3,52020.0,8741.0,0.068
S12000006,Dumfries and Galloway,2016,29,5,24,1455.0,1533.3,148390.0,23003.0,
S12000006,Dumfries and Galloway,2017,30,6,24,1580.0,1553.8,147810.0,22836.0,
S12000006,Dumfries and Galloway,2018,30,6,24,2230.0,1795.4,146990.0,22765.0,
S12000006,Dumfries and Galloway,2019,30,6,24,2725.0,2630.4,146810.0,22684.0,
S12000006,Dumfries and Galloway,2020,31,6,25,4435.0,4317.1,146090.0,22630.0,0.042
S12000006,Dumfries and Galloway,2021,30,6,24,3175.0,3922.5,146250.0,22479.0,0.073
S12000006,Dumfries and Galloway,2022,30,6,24,2555.0,2685.8,145770.0,22096.0,0.074
S12000006,Dumfries and Galloway,2023,31,6,25,2390.0,2490.4,145890.0,21896.0,0.07
S12000008,East Ayrshire,2016,24,2,22,2510.0,2526.2,121580.0,21016.0,
S12000008,East Ayrshire,2017,23,2,21,2525.0,2513.8,121150.0,20907.0,
S12000008,East Ayrshire,2018,23,2,21,3635.0,3321.2,120810.0,20873.0,
S12000008,East Ayrshire,2019,24,3,21,3620.0,3713.8,120870.0,20783.0,
S12000008,East Ayrshire,2020,24,2,22,5615.0,5313.8,120340.0,20631.0,0.046
S12000008,East Ayrshire,2021,26,4,22,4090.0,4965.0,120500.0,20514.0,0.059
S12000008,East Ayrshire,2022,27,4,23,3125.0,3402.5,120400.0,20371.0,0.066
S12000008,East Ayrshire,2023,28,4,24,2935.0,3116.7,120870.0,20286.0,0.068
S12000010,East Lothian,2016,29,6,23,1270.0,1102.9,105170.0,19176.0,
S12000010,East Lothian,2017,29,6,23,1765.0,1655.4,106080.0,19307.0,
S12000010,East Lothian,2018,29,6,23,1830.0,1840.4,107070.0,19619.0,
S12000010,East Lothian,2019,29,6,23,1750.0,1767.5,108510.0,19997.0,
S12000010,East Lothian,2020,28,6,22,3220.0,2993.3,109510.0,19978.0,0.069
S12000010,East Lothian,2021,29,6,23,2130.0,2824.6,111340.0,20094.0,0.118
S12000010,East Lothian,2022,29,6,23,1480.0,1642.5,112460.0,20161.0,0.112
S12000010,East Lothian,2023,31,6,25,1545.0,1545.4,113810.0,20239.0,0.095
S12000011,East Renfrewshire,2016,13,1,12,685.0,672.5,93880.0,18269.0,
S12000011,East Renfrewshire,2017,20,2,18,645.0,668.3,94810.0,18619.0,
S12000011,East Renfrewshire,2018,20,2,18,710.0,681.2,95070.0,18853.0,
S12000011,East Renfrewshire,2019,21,3,18,960.0,892.1,95410.0,19008.0,
S12000011,East Renfrewshire,2020,21,3,18,2135.0,1905.0,95820.0,19167.0,0.039
S12000011,East Renfrewshire,2021,22,3,19,1235.0,1708.3,96210.0,19220.0,0.07
S12000011,East Renfrewshire,2022,22,3,19,955.0,1030.0,97170.0,19439.0,0.063
S12000011,East Renfrewshire,2023,22,3,19,985.0,1014.6,98760.0,19797.0,0.075
S12000013,Na h-Eileanan Siar,2016,7,0,7,305.0,328.3,26700.0,4222.0,
S12000013,Na h-Eileanan Siar,2017,7,0,7,270.0,289.6,26690.0,4259.0,
S12000013,Na h-Eileanan Siar,2018,7,0,7,290.0,259.6,26500.0,4234.0,
S12000013,Na h-Eileanan Siar,2019,7,0,7,400.0,336.7,26340.0,4174.0,
S12000013,Na h-Eileanan Siar,2020,7,0,7,755.0,721.2,26080.0,4060.0,0.053
S12000013,Na h-Eileanan Siar,2021,7,0,7,460.0,614.2,26160.0,3984.0,0.098
S12000013,Na h-Eileanan Siar,2022,7,0,7,290.0,362.1,26120.0,3956.0,0.089
S12000013,Na h-Eileanan Siar,2023,7,0,7,280.0,289.6,26040.0,3859.0,0.128
S12000014,Falkirk,2016,33,5,28,2190.0,2228.8,158660.0,27967.0,
S12000014,Falkirk,2017,32,5,27,2190.0,2307.5,159240.0,27875.0,
S12000014,Falkirk,2018,31,5,26,3080.0,2736.2,159090.0,27763.0,
S12000014,Falkirk,2019,31,5,26,3300.0,3285.0,159530.0,27720.0,
S12000014,Falkirk,2020,30,5,25,5815.0,5326.2,158990.0,27530.0,0.058
S12000014,Falkirk,2021,30,5,25,3755.0,5002.5,158760.0,27213.0,0.095
S12000014,Falkirk,2022,32,5,27,3120.0,3264.6,158450.0,26959.0,0.101
S12000014,Falkirk,2023,34,5,29,2780.0,2979.2,159020.0,26824.0,0.086
S12000017,Highland,2016,79,9,70,2465.0,2276.7,234570.0,39286.0,
S12000017,Highland,2017,79,9,70,3380.0,2965.4,234800.0,38828.0,
S12000017,Highland,2018,82,11,71,3510.0,3590.0,234530.0,38594.0,
S12000017,Highland,2019,82,11,71,3540.0,3512.5,234510.0,38446.0,
S12000017,Highland,2020,82,11,71,7200.0,6735.8,233910.0,37986.0,0.049
S12000017,Highland,2021,82,11,71,4205.0,5930.0,235850.0,37601.0,0.085
S12000017,Highland,2022,83,11,72,3340.0,3583.3,235710.0,37243.0,0.086
S12000017,Highland,2023,86,11,75,3160.0,3306.2,236520.0,37017.0,0.072
S12000018,Inverclyde,2016,16,3,13,1215.0,1476.7,80110.0,12730.0,
S12000018,Inverclyde,2017,17,4,13,2360.0,2138.8,79820.0,12564.0,
S12000018,Inverclyde,2018,18,4,14,2400.0,2553.3,79350.0,12454.0,
S12000018,Inverclyde,2019,19,4,15,2160.0,2364.6,79150.0,12435.0,
S12000018,Inverclyde,2020,19,4,15,2890.0,2882.5,78580.0,12238.0,0.057
S12000018,Inverclyde,2021,20,4,16,2275.0,2717.5,78390.0,12034.0,0.074
S12000018,Inverclyde,2022,20,4,16,1805.0,1935.8,78350.0,11996.0,0.073
S12000018,Inverclyde,2023,20,4,16,1725.0,1779.6,78780.0,12150.0,0.068
S12000019,Midlothian,2016,18,2,16,860.0,900.0,89470.0,16687.0,
S12000019,Midlothian,2017,18,2,16,1405.0,1122.5,91000.0,16944.0,
S12000019,Midlothian,2018,18,2,16,1350.0,1453.8,92220.0,17312.0,
S12000019,Midlothian,2019,18,2,16,1370.0,1393.3,93420.0,17674.0,
S12000019,Midlothian,2020,19,2,17,2905.0,2603.8,94180.0,17781.0,0.052
S12000019,Midlothian,2021,20,3,17,1735.0,2469.2,95670.0,17970.0,0.09
S12000019,Midlothian,2022,21,4,17,1300.0,1414.6,97040.0,18286.0,0.093
S12000019,Midlothian,2023,22,4,18,1320.0,1342.5,98370.0,18573.0,0.084
S12000020,Moray,2016,25,4,21,960.0,970.8,95110.0,15999.0,
S12000020,Moray,2017,23,4,19,1010.0,1076.2,94660.0,15793.0,
S12000020,Moray,2018,23,4,19,1290.0,1139.6,94090.0,15630.0,
S12000020,Moray,2019,23,4,19,1465.0,1465.0,94170.0,15662.0,
S12000020,Moray,2020,26,4,22,2755.0,2511.2,93870.0,15651.0,0.058
S12000020,Moray,2021,26,4,22,1810.0,2444.6,94270.0,15580.0,0.07
S12000020,Moray,2022,26,4,22,1360.0,1511.7,94300.0,15646.0,0.092
S12000020,Moray,2023,30,4,26,1225.0,1317.9,94790.0,15498.0,0.074
S12000021,North Ayrshire,2016,29,4,25,3295.0,3486.7,135950.0,22877.0,
S12000021,North Ayrshire,2017,29,4,25,3145.0,3258.3,135810.0,22622.0,
S12000021,North Ayrshire,2018,29,4,25,4490.0,4112.1,135130.0,22436.0,
S12000021,North Ayrshire,2019,29,4,25,4360.0,4537.9,134570.0,22142.0,
S12000021,North Ayrshire,2020,30,4,26,6650.0,6315.0,134040.0,21988.0,0.037
S12000021,North Ayrshire,2021,30,4,26,4530.0,5684.2,133860.0,21573.0,0.079
S12000021,North Ayrshire,2022,30,4,26,3665.0,3905.4,133490.0,21214.0,0.08
S12000021,North Ayrshire,2023,33,4,29,3505.0,3611.2,133720.0,21117.0,0.071
S12000023,Orkney Islands,2016,5,1,4,130.0,110.8,21640.0,3454.0,
S12000023,Orkney Islands,2017,5,1,4,115.0,122.5,21730.0,3475.0,
S12000023,Orkney Islands,2018,5,1,4,135.0,102.9,21830.0,3477.0,
S12000023,Orkney Islands,2019,5,1,4,175.0,176.7,21870.0,3533.0,
S12000023,Orkney Islands,2020,5,1,4,365.0,340.8,21970.0,3534.0,0.048
S12000023,Orkney Islands,2021,5,1,4,250.0,303.8,22030.0,3534.0,0.099
S12000023,Orkney Islands,2022,5,1,4,215.0,216.7,22030.0,3489.0,0.151
S12000023,Orkney Islands,2023,6,1,5,215.0,215.4,22020.0,3466.0,0.171
S12000026,Scottish Borders,2016,32,3,29,1080.0,1157.9,115460.0,18811.0,
S12000026,Scottish Borders,2017,26,3,23,1030.0,1122.5,115970.0,18807.0,
S12000026,Scottish Borders,2018,27,4,23,1425.0,1188.3,116190.0,18786.0,
S12000026,Scottish Borders,2019,27,4,23,1775.0,1730.8,116490.0,18781.0,
S12000026,Scottish Borders,2020,26,4,22,3485.0,3165.8,116380.0,18610.0,0.058
S12000026,Scottish Borders,2021,26,4,22,2365.0,3042.5,117080.0,18415.0,0.083
S12000026,Scottish Borders,2022,26,4,22,2010.0,2072.9,116820.0,18126.0,0.088
