la_name,year,filled_posts,employees,vacant_posts,vacancy_rate,fte_posts,la_code
Cumbria (combined),2016,10500,9900,550.0,0.049773755656108594,7400.0,CUMBRIA_COMBINED
Cumbria (combined),2017,10000,9600,650.0,0.06103286384976526,7300.0,CUMBRIA_COMBINED
Cumbria (combined),2018,10000,9700,850.0,0.07834101382488479,7300.0,CUMBRIA_COMBINED
Cumbria (combined),2019,10500,9900,900.0,0.07894736842105263,7500.0,CUMBRIA_COMBINED
Cumbria (combined),2020,10500,10000,650.0,0.05829596412556054,7600.0,CUMBRIA_COMBINED
Cumbria (combined),2021,10000,9400,1300.0,0.11504424778761062,7300.0,CUMBRIA_COMBINED
Cumbria (combined),2022,10500,9600,1100.0,0.09482758620689655,7700.0,CUMBRIA_COMBINED
Cumbria (combined),2023,10600,9900,1100.0,0.09401709401709402,8000.0,CUMBRIA_COMBINED
Dorset (combined),2016,21900,20700,925.0,0.040525739320920046,15400.0,DORSET_COMBINED
Dorset (combined),2017,21900,20500,1825.0,0.07692307692307693,15400.0,DORSET_COMBINED
Dorset (combined),2018,21600,20700,1675.0,0.0719656283566058,15600.0,DORSET_COMBINED
Dorset (combined),2019,21600,19800,1400.0,0.06086956521739131,15200.0,DORSET_COMBINED
Dorset (combined),2020,22500,21300,1600.0,0.06639004149377593,15800.0,DORSET_COMBINED
Dorset (combined),2021,21100,19300,2050.0,0.08855291576673865,14800.0,DORSET_COMBINED
Dorset (combined),2022,20900,19600,1850.0,0.08131868131868132,15500.0,DORSET_COMBINED
Dorset (combined),2023,21800,19900,1650.0,0.07036247334754797,16400.0,DORSET_COMBINED
Hartlepool,2016,2500,2400,,,1800.0,E06000001
Hartlepool,2017,2400,2200,,,1600.0,E06000001
Hartlepool,2018,2500,2400,,,1800.0,E06000001
Hartlepool,2019,2500,2400,,,1800.0,E06000001
Hartlepool,2020,2600,2500,,,1900.0,E06000001
Hartlepool,2021,2600,2500,,,2000.0,E06000001
Hartlepool,2022,2600,2500,,,2000.0,E06000001
Hartlepool,2023,2400,2400,75.0,0.03421021246919745,1900.0,E06000001
Middlesbrough,2016,3900,3700,75.0,0.02037833765390492,,E06000002
Middlesbrough,2017,4400,3900,125.0,0.03328556276020209,,E06000002
Middlesbrough,2018,4400,3900,150.0,0.0363588644337619,,E06000002
Middlesbrough,2019,4800,4500,200.0,0.04320178030531374,,E06000002
Middlesbrough,2020,4800,4600,125.0,0.02423761031513696,,E06000002
Middlesbrough,2021,5200,5000,275.0,0.0500225981395588,,E06000002
Middlesbrough,2022,5600,5200,300.0,0.05557549350199932,,E06000002
Middlesbrough,2023,6300,6000,200.0,0.03080288838757212,5000.0,E06000002
Redcar & Cleveland,2016,3200,3000,125.0,0.03902430634980911,2200.0,E06000003
Redcar & Cleveland,2017,3000,2600,175.0,0.06230666264974646,1900.0,E06000003
Redcar & Cleveland,2018,3100,2900,200.0,0.06400388742844486,2000.0,E06000003
Redcar & Cleveland,2019,3100,2800,175.0,0.05961205477009347,2000.0,E06000003
Redcar & Cleveland,2020,3000,2900,175.0,0.05467709369479577,2000.0,E06000003
Redcar & Cleveland,2021,3100,3000,275.0,0.08570210474858568,2000.0,E06000003
Redcar & Cleveland,2022,3100,3000,175.0,0.05219059188012076,2000.0,E06000003
Redcar & Cleveland,2023,3300,3100,225.0,0.06985759428830234,2200.0,E06000003
Stockton on Tees,2016,4400,4100,200.0,0.04827573318454283,3000.0,E06000004
Stockton on Tees,2017,4400,4200,125.0,0.03174599803614121,3100.0,E06000004
Stockton on Tees,2018,4900,4500,,,3300.0,E06000004
Stockton on Tees,2019,5000,4800,,,3400.0,E06000004
Stockton on Tees,2020,4900,4700,200.0,0.04103913670297658,3400.0,E06000004
Stockton on Tees,2021,5400,5200,475.0,0.08135930832113623,3600.0,E06000004
Stockton on Tees,2022,5000,4800,,,3600.0,E06000004
Stockton on Tees,2023,5200,4900,475.0,0.08966553561226281,3900.0,E06000004
Darlington,2016,3200,2800,225.0,0.07697066787145278,2300.0,E06000005
Darlington,2017,3200,2900,175.0,0.05795232873262231,2300.0,E06000005
Darlington,2018,3000,2800,,,2200.0,E06000005
Darlington,2019,2800,2600,200.0,0.06806230651622974,2100.0,E06000005
Darlington,2020,2900,2600,125.0,0.04143871552991664,2100.0,E06000005
Darlington,2021,3000,2600,,,2200.0,E06000005
Darlington,2022,3300,3000,250.0,0.07947421819535117,2500.0,E06000005
Darlington,2023,3400,3000,175.0,0.05415077032634467,2500.0,E06000005
Halton,2016,1800,1600,50.0,0.03421398479087313,1300.0,E06000006
Halton,2017,1900,1700,100.0,0.06117814747501174,1500.0,E06000006
Halton,2018,1900,1800,50.0,0.02338273855903161,1400.0,E06000006
Halton,2019,1800,1700,50.0,0.02170572226206449,1300.0,E06000006
Halton,2020,1900,1800,25.0,0.0179220829818873,1400.0,E06000006
Halton,2021,1700,1600,,,1200.0,E06000006
Halton,2022,1700,1600,,,1200.0,E06000006
